date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:14	34280/34280	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-85e8%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html	(from )
12:37:15	94/94	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%225e89b834-7f%22	https://www.bootstrapdash.com/robots.txt		(from )
12:37:16	12423/12423	---MCZ	200	added ('OK')	text/html	etag:W/%225f48f73e-3087%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/index.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/index.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:17	38730/38730	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-974a%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-one.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-one.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:18	28898/28898	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-70e2%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-three.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-three.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:19	38337/38337	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-95c1%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-four.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-four.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:20	36003/36003	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-8ca3%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-five.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-five.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:21	30655/30655	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-77bf%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-six.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-six.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:22	50722/50722	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-c622%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-seven.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-seven.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:23	35902/35902	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-8c3e%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-eight.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-eight.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:24	35425/35425	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-8a61%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-nine.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-nine.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:25	48679/48679	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-be27%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-ten.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-ten.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:26	34065/34065	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-8511%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-mail.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-mail.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:27	32735/32735	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-7fdf%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-chat.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-chat.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:28	22736/22736	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-58d0%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-calendar.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-calendar.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:29	26027/26027	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-65ab%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-contacts.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-contacts.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:30	33713/33713	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-83b1%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-kanban.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-kanban.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:31	44874/44874	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-af4a%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-tickets.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-tickets.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:32	25380/25380	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-6324%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-profile.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-profile.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:33	28110/28110	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-6dce%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:34	3636/3636	---MCZ	200	added ('OK')	text/html	etag:W/%225f48f73e-e34%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signin.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signin.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
